FIPS,NAME,CLINTON,SANDERS,OMALLEY,DEM_OTHER
16007,Bear Lake,0.324,0.676,0.0,0.0
16009,Benewah,0.282,0.69,0.0,0.028
16011,Bingham,0.232,0.764,0.0,0.004
16013,Blaine,0.316,0.683,0.0,0.001
16015,Boise,0.321,0.679,0.0,0.0
16017,Bonner,0.205,0.793,0.0,0.002
16019,Bonneville,0.209,0.791,0.0,0.0
16021,Boundary,0.144,0.84,0.0,0.016
16023,Butte,0.192,0.769,0.0,0.038
16025,Camas,0.368,0.579,0.0,0.053
16027,Canyon,0.173,0.818,0.0,0.008
16029,Caribou,0.3,0.7,0.0,0.0
16031,Cassia,0.387,0.613,0.0,0.0
16033,Clark,0.0,1.0,0.0,0.0
16035,Clearwater,0.418,0.582,0.0,0.0
16037,Custer,0.279,0.721,0.0,0.0
16039,Elmore,0.328,0.664,0.0,0.009
16041,Franklin,0.403,0.581,0.0,0.016
16043,Fremont,0.172,0.828,0.0,0.0
16045,Gem,0.269,0.704,0.0,0.027
16047,Gooding,0.364,0.636,0.0,0.0
16049,Idaho County,0.348,0.652,0.0,0.0
16051,Jefferson,0.192,0.808,0.0,0.0
16053,Jerome,0.23,0.77,0.0,0.0
16055,Kootenai,0.24,0.759,0.0,0.001
16057,Latah,0.161,0.839,0.0,0.0
16059,Lemhi,0.181,0.755,0.0,0.064
16061,Lewis,0.5,0.475,0.0,0.025
16063,Lincoln,0.385,0.564,0.0,0.051
16065,Madison,0.178,0.818,0.0,0.004
16067,Minidoka,0.333,0.654,0.0,0.013
16069,Nez Perce,0.286,0.707,0.0,0.007
16071,Oneida,0.455,0.545,0.0,0.0
16073,Owyhee,0.355,0.645,0.0,0.0
16075,Payette,0.336,0.664,0.0,0.0
16077,Power,0.297,0.703,0.0,0.0
16079,Shoshone,0.346,0.654,0.0,0.0
16081,Teton,0.21,0.777,0.0,0.013
16083,Twin Falls,0.278,0.722,0.0,0.0
16085,Valley,0.269,0.731,0.0,0.0
16087,Washington,0.321,0.651,0.0,0.028
49003,Box Elder,0.242,0.755,0.0,0.003
49005,Cache,0.177,0.815,0.0,0.008
49007,Carbon,0.335,0.615,0.0,0.05
49009,Daggett,0.067,0.867,0.0,0.067
49011,Davis,0.173,0.824,0.0,0.003
49013,Duchesne,0.294,0.69,0.0,0.016
49015,Emery,0.257,0.653,0.0,0.089
49017,Garfield,0.232,0.737,0.0,0.03
49019,Grand,0.202,0.796,0.0,0.003
49021,Iron,0.181,0.815,0.0,0.004
49023,Juab,0.225,0.775,0.0,0.0
49025,Kane,0.21,0.782,0.0,0.008
49027,Millard,0.36,0.44,0.0,0.2
